state_name,1,2,3,4,5,6,7,8,9,10,11,12
andamanandnicobarislands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhrapradesh,7.7787500000000005,4.3,9.05125,22.08625,57.400625000000005,91.39625,127.40312499999999,146.846,159.39800000000002,133.27466666666666,119.59733333333334,45.02866666666667
arunachalpradesh,22.124375,57.106249999999996,106.19999999999999,229.628125,280.589375,379.760625,411.805,356.8846666666667,293.89599999999996,127.85666666666665,23.466,13.327333333333334
assam,9.399375,23.089375,60.179375,181.673125,261.26625,358.529375,323.798125,296.1933333333333,238.20066666666668,105.68133333333334,12.098,8.623999999999999
bihar,6.130625,10.4125,11.174375,22.470625000000002,83.275,148.67125,257.34375,256.12466666666666,206.43533333333332,69.618,1.6373333333333333,3.016
chandigarh,44.1875,33.49375,34.625,19.51875,30.9625,101.55625,289.09375,229.22666666666666,158.57999999999998,14.153333333333334,7.766666666666667,20.36
chhattisgarh,10.17625,10.36375,14.456875,20.286875000000002,28.52125,158.5425,332.485625,347.65933333333334,239.18333333333334,61.89933333333333,8.090666666666667,10.153333333333334
delhi,18.46,14.876875000000002,21.0775,7.176875,28.724375000000002,42.675,157.155625,151.494,113.39466666666667,17.344,2.3326666666666664,4.476
goa,3.344375,2.046875,5.2825,11.524375000000001,67.729375,740.6075,1197.446875,750.792,445.70533333333333,201.892,49.76133333333333,9.562000000000001
gujarat,0.82125,0.163125,1.5825,1.44875,4.5925,79.50687500000001,276.340625,220.98133333333334,171.04666666666665,20.271333333333335,8.484666666666666,1.8213333333333332
haryana,18.69625,15.096250000000001,19.8375,9.085625,21.365625,53.495,141.3,121.03933333333333,98.69933333333333,8.815333333333333,2.848666666666667,4.451333333333333
himachalpradesh,68.700625,84.5475,79.271875,57.975625,54.27125,92.969375,235.19875,239.444,118.242,19.984666666666666,21.107333333333333,25.404
jammuandkashmir,70.235,65.16000000000001,94.47999999999999,85.33624999999999,62.769999999999996,80.779375,109.0775,238.63066666666666,131.87266666666667,38.44866666666667,14.954666666666666,7.73
